Unnamed: 0,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
151.0,Ratchet Happy Birthday,Scorpion,2018.0,0.657,0.11,0.571,0.00123,0.0735,-12.519,0.139,167.958,0.622,56
152.0,That’s How You Feel,Scorpion,2018.0,0.85,0.117,0.473,0.0103,0.108,-5.747,0.209,85.454,0.38,66
153.0,Blue Tint,Scorpion,2018.0,0.889,0.013,0.372,0.0,0.184,-10.254,0.357,133.997,0.123,64
154.0,In My Feelings,Scorpion,2018.0,0.835,0.0589,0.626,6e-05,0.396,-5.833,0.125,91.03,0.35,77
155.0,Don’t Matter To Me (with Michael Jackson),Scorpion,2018.0,0.822,0.493,0.318,0.0128,0.11,-12.391,0.0575,102.998,0.138,71
156.0,After Dark (feat. Static Major & Ty Dolla $ign),Scorpion,2018.0,0.687,0.0407,0.429,0.0,0.142,-13.075,0.192,141.966,0.336,60
157.0,Final Fantasy,Scorpion,2018.0,0.5,0.422,0.449,7.96e-06,0.115,-10.977,0.442,144.206,0.104,58
158.0,March 14,Scorpion,2018.0,0.558,0.405,0.414,0.0,0.36,-7.355,0.358,127.094,0.318,56
159.0,Free Smoke,More Life,2017.0,0.736,0.0681,0.491,0.0,0.571,-6.892,0.439,141.979,0.203,65
160.0,No Long Talk,More Life,2017.0,0.913,0.0671,0.608,0.0,0.533,-6.839,0.234,97.063,0.578,60
161.0,Passionfruit,More Life,2017.0,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,0.364,86
162.0,Jorja Interlude,More Life,2017.0,0.735,0.762,0.373,0.00202,0.288,-10.478,0.104,123.081,0.237,67
163.0,Get It Together,More Life,2017.0,0.781,0.0945,0.721,0.391,0.104,-9.133,0.0514,123.011,0.849,72
164.0,Madiba Riddim,More Life,2017.0,0.839,0.245,0.521,0.00545,0.607,-10.45,0.166,105.992,0.33,64
165.0,Blem,More Life,2017.0,0.726,0.0533,0.535,1.38e-05,0.0984,-7.804,0.0476,98.067,0.375,65
166.0,4422,More Life,2017.0,0.609,0.558,0.229,0.0413,0.113,-12.36,0.0333,111.887,0.19,68
167.0,Gyalchester,More Life,2017.0,0.877,0.0317,0.391,0.000502,0.0945,-8.196,0.063,131.018,0.122,70
168.0,Skepta Interlude,More Life,2017.0,0.745,0.0103,0.822,4.2e-06,0.155,-6.354,0.252,86.733,0.415,59
169.0,Portland,More Life,2017.0,0.925,0.0172,0.443,0.0,0.276,-8.216,0.264,136.078,0.35,74
170.0,Sacrifices,More Life,2017.0,0.903,0.0407,0.439,0.0,0.138,-11.813,0.397,139.112,0.532,61
171.0,Nothings Into Somethings,More Life,2017.0,0.766,0.332,0.234,0.00156,0.358,-7.544,0.159,96.882,0.256,64
172.0,Teenage Fever,More Life,2017.0,0.766,0.111,0.283,0.0172,0.115,-10.33,0.0846,97.04,0.144,84
173.0,KMT,More Life,2017.0,0.875,0.0189,0.6,0.0143,0.132,-6.818,0.0435,119.987,0.0906,65
174.0,Lose You,More Life,2017.0,0.526,0.699,0.583,0.0,0.372,-9.172,0.376,89.837,0.378,64
175.0,Can't Have Everything,More Life,2017.0,0.856,0.0136,0.572,1.55e-06,0.121,-8.429,0.373,82.445,0.454,60
176.0,Glow,More Life,2017.0,0.688,0.2,0.384,0.0,0.708,-8.824,0.375,162.098,0.432,58
177.0,Since Way Back,More Life,2017.0,0.468,0.348,0.266,9.55e-06,0.209,-11.121,0.13,153.294,0.222,62
178.0,Fake Love,More Life,2017.0,0.928,0.105,0.481,0.0,0.176,-9.35,0.287,134.007,0.613,75
179.0,Ice Melts,More Life,2017.0,0.813,0.08,0.551,0.0,0.386,-7.605,0.353,124.957,0.598,59
180.0,Do Not Disturb,More Life,2017.0,0.618,0.246,0.693,0.0,0.112,-5.943,0.45,170.982,0.454,79
181.0,Keep The Family Close,Views,2016.0,0.378,0.149,0.566,0.0,0.382,-7.685,0.0482,87.691,0.196,62
182.0,9,Views,2016.0,0.68,0.000803,0.712,0.000612,0.237,-7.184,0.0453,100.009,0.0379,66
183.0,U With Me?,Views,2016.0,0.429,0.338,0.43,1.18e-05,0.138,-11.373,0.165,174.983,0.125,64
184.0,Feel No Ways,Views,2016.0,0.582,0.0312,0.677,6.6e-06,0.122,-7.081,0.172,193.818,0.205,78
185.0,Hype,Views,2016.0,0.787,0.0253,0.635,0.0,0.357,-8.271,0.155,130.018,0.237,62
186.0,Weston Road Flows,Views,2016.0,0.623,0.0635,0.74,0.0,0.366,-6.942,0.307,82.877,0.35,64
187.0,Redemption,Views,2016.0,0.694,0.611,0.314,2.07e-06,0.117,-7.82,0.116,119.905,0.341,69
188.0,With You,Views,2016.0,0.878,0.134,0.406,0.000234,0.112,-9.961,0.248,128.014,0.784,64
189.0,Faithful,Views,2016.0,0.536,0.11,0.449,1.49e-05,0.284,-10.499,0.103,99.889,0.171,59
190.0,Still Here,Views,2016.0,0.834,0.0258,0.433,0.0,0.633,-9.607,0.174,133.938,0.229,68
191.0,Controlla,Views,2016.0,0.59,0.0789,0.468,0.0,0.101,-11.083,0.185,92.287,0.349,74
192.0,One Dance,Views,2016.0,0.792,0.00776,0.625,0.0018,0.329,-5.609,0.0536,103.967,0.37,89
193.0,Grammys,Views,2016.0,0.676,0.00163,0.432,3.84e-06,0.0799,-9.51,0.502,145.869,0.12,60
