,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
119,How Bout Now,Care Package,2019,0.789,0.205,0.404,0.0,0.219,-8.364,0.23,122.062,0.472,68
120,Trust Issues,Care Package,2019,0.421,0.779,0.539,0.0,0.111,-5.456,0.274,89.177,0.523,83
121,Days in The East,Care Package,2019,0.733,0.348,0.361,0.000285,0.0942,-11.129,0.135,94.902,0.0361,57
122,Draft Day,Care Package,2019,0.673,0.0322,0.81,0.0,0.133,-3.793,0.36,166.084,0.564,54
123,4pm in Calabasas,Care Package,2019,0.743,0.115,0.66,0.0,0.101,-4.802,0.418,192.031,0.549,59
124,5 Am in Toronto,Care Package,2019,0.555,0.0678,0.88,0.0,0.0723,-4.325,0.265,87.195,0.391,61
125,I Get Lonely,Care Package,2019,0.477,0.706,0.501,5.61e-06,0.0953,-9.178,0.0398,81.376,0.689,57
126,My Side,Care Package,2019,0.549,0.603,0.495,7.26e-06,0.0979,-5.661,0.133,81.012,0.385,51
127,Jodeci Freestyle (feat. J. Cole),Care Package,2019,0.498,0.0111,0.844,0.0,0.102,-2.834,0.268,88.435,0.282,55
128,Club Paradise,Care Package,2019,0.338,0.758,0.729,3.24e-05,0.18,-6.419,0.102,184.174,0.543,60
129,Free Spirit (feat. Rick Ross),Care Package,2019,0.508,0.281,0.748,0.0,0.168,-4.997,0.33,100.414,0.225,57
130,Heat Of The Moment,Care Package,2019,0.641,0.179,0.454,0.000116,0.065,-8.344,0.133,78.036,0.302,49
131,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,2019,0.619,0.782,0.489,0.0,0.106,-11.25,0.46,126.046,0.328,62
132,Paris Morton Music,Care Package,2019,0.505,0.414,0.494,7.98e-05,0.105,-8.635,0.315,171.978,0.141,60
133,Can I,Care Package,2019,0.643,0.484,0.178,0.0108,0.122,-8.56,0.0588,85.042,0.0674,68
134,Survival,Scorpion,2018,0.555,0.133,0.596,0.0,0.123,-9.09,0.375,77.324,0.145,62
135,Nonstop,Scorpion,2018,0.912,0.0165,0.412,0.0126,0.104,-8.074,0.123,154.983,0.423,81
136,Elevate,Scorpion,2018,0.758,0.0152,0.474,0.0,0.116,-8.72,0.147,76.061,0.0542,62
137,Emotionless,Scorpion,2018,0.414,0.0248,0.677,0.0,0.0793,-5.12,0.254,172.521,0.0853,68
